subject,,,,,,,,,,,,,
activity,,,,,,,,,,,,,
tBodyAccMeanX,t,Body,Acc,Mean,X,,,time,x-axis,,acceleration,,Body acceleration Mean x-axis time- variable
tBodyAccMeanY,t,Body,Acc,Mean,Y,,,time,y-axis,,acceleration,,Body acceleration Mean y-axis time- variable
tBodyAccMeanZ,t,Body,Acc,Mean,Z,,,time,z-axis,,acceleration,,Body acceleration Mean z-axis time- variable
tBodyAccStdDevX,t,Body,Acc,StdDev,X,,,time,x-axis,Standard Deviation,acceleration,,Body acceleration Standard Deviation x-axis time- variable
tBodyAccStdDevY,t,Body,Acc,StdDev,Y,,,time,y-axis,Standard Deviation,acceleration,,Body acceleration Standard Deviation y-axis time- variable
tBodyAccStdDevZ,t,Body,Acc,StdDev,Z,,,time,z-axis,Standard Deviation,acceleration,,Body acceleration Standard Deviation z-axis time- variable
tGravityAccMeanX,t,Gravity,Acc,Mean,X,,,time,x-axis,,acceleration,,Gravity acceleration Mean x-axis time- variable
tGravityAccMeanY,t,Gravity,Acc,Mean,Y,,,time,y-axis,,acceleration,,Gravity acceleration Mean y-axis time- variable
tGravityAccMeanZ,t,Gravity,Acc,Mean,Z,,,time,z-axis,,acceleration,,Gravity acceleration Mean z-axis time- variable
tGravityAccStdDevX,t,Gravity,Acc,StdDev,X,,,time,x-axis,Standard Deviation,acceleration,,Gravity acceleration Standard Deviation x-axis time- variable
tGravityAccStdDevY,t,Gravity,Acc,StdDev,Y,,,time,y-axis,Standard Deviation,acceleration,,Gravity acceleration Standard Deviation y-axis time- variable
tGravityAccStdDevZ,t,Gravity,Acc,StdDev,Z,,,time,z-axis,Standard Deviation,acceleration,,Gravity acceleration Standard Deviation z-axis time- variable
tBodyAccJerkMeanX,t,Body,Acc,Jerk,Mean,X,,time,x-axis,,acceleration,,Body acceleration Jerk Mean x-axis time- variable
tBodyAccJerkMeanY,t,Body,Acc,Jerk,Mean,Y,,time,y-axis,,acceleration,,Body acceleration Jerk Mean y-axis time- variable
tBodyAccJerkMeanZ,t,Body,Acc,Jerk,Mean,Z,,time,z-axis,,acceleration,,Body acceleration Jerk Mean z-axis time- variable
tBodyAccJerkStdDevX,t,Body,Acc,Jerk,StdDev,X,,time,x-axis,Standard Deviation,acceleration,,Body acceleration Jerk Standard Deviation x-axis time- variable
tBodyAccJerkStdDevY,t,Body,Acc,Jerk,StdDev,Y,,time,y-axis,Standard Deviation,acceleration,,Body acceleration Jerk Standard Deviation y-axis time- variable
tBodyAccJerkStdDevZ,t,Body,Acc,Jerk,StdDev,Z,,time,z-axis,Standard Deviation,acceleration,,Body acceleration Jerk Standard Deviation z-axis time- variable
tBodyGyroMeanX,t,Body,Gyro,Mean,X,,,time,x-axis,,,,Body Gyro Mean x-axis time- variable
tBodyGyroMeanY,t,Body,Gyro,Mean,Y,,,time,y-axis,,,,Body Gyro Mean y-axis time- variable
tBodyGyroMeanZ,t,Body,Gyro,Mean,Z,,,time,z-axis,,,,Body Gyro Mean z-axis time- variable
